timestamp,table_name,row_count,status
2026-06-19 19:12:41.351082,CUSTOMERS,0,FAILED
2026-06-19 19:18:09.646909,CUSTOMERS,99441,SUCCESS
2026-06-19 20:07:01.402498,CUSTOMERS,99441,99441,SUCCESS
2026-06-19 20:07:22.806243,ORDERS,99441,99441,SUCCESS
2026-06-19 20:07:35.379610,ORDER_ITEMS,112650,112650,SUCCESS
2026-06-19 20:07:51.157762,PRODUCTS,32951,32951,SUCCESS
2026-06-19 20:08:03.109040,PAYMENTS,103886,103886,SUCCESS
2026-06-19 20:08:09.244377,SELLERS,3095,3095,SUCCESS
2026-06-19 20:08:17.714220,CAMPAIGNS,4,4,SUCCESS
2026-06-27 07:07:23.881076,CUSTOMERS,99441,99441,SUCCESS
2026-06-27 07:07:42.161038,ORDERS,99441,99441,SUCCESS
2026-06-27 07:07:50.832866,ORDER_ITEMS,112650,112650,SUCCESS
2026-06-27 07:08:04.030383,PRODUCTS,32951,32951,SUCCESS
2026-06-27 07:08:31.034856,PAYMENTS,103886,103886,SUCCESS
2026-06-27 07:08:36.250520,SELLERS,3095,3095,SUCCESS
2026-06-27 07:08:40.923168,CAMPAIGNS,4,4,SUCCESS
